name,url,persona,company,message,personalization_score,notes
Gaurav Munjal,https://www.linkedin.com/in/gauravmunjal,founder,Unacademy,"Hey Gaurav, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Unacademy. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Hemesh Singh,https://www.linkedin.com/in/hemeshsingh,executive,Unacademy,"Hey Hemesh, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Unacademy. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CTO
Roman Saini,https://www.linkedin.com/in/romansaini,founder,Unacademy,"Hey Roman, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Unacademy. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Vamsi Krishna,https://www.linkedin.com/in/vamsikrishna,founder,Vedantu,"Hey Vamsi, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Vedantu. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Niraj Ranjan Rout,https://www.linkedin.com/in/nirajranjanrout,founder,Hiver,"Hey Niraj, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Hiver. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Anand Jain,https://www.linkedin.com/in/anandjain1,founder,CleverTap,"Hey Anand, I am a Full Stack and AI engineer. Shipped LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring AI engineering roles at CleverTap. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Suresh Vasudevan,https://www.linkedin.com/in/sureshvasudevan,executive,CleverTap,"Hey Suresh, I am a Full Stack and AI engineer. Shipped LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring AI engineering roles at CleverTap. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Rajesh Jain,https://www.linkedin.com/in/rajeshjainnm,founder,Netcore Cloud,"Hey Rajesh, I am a Full Stack and AI engineer. Built LangGraph agents and a provider agnostic LLM layer at OpenBiz. Exploring AI engineering roles at Netcore Cloud. Would you refer me if there are openings? Happy to share my resume.",3,Founder
Kalpit Jain,https://www.linkedin.com/in/kalpitjain,executive,Netcore Cloud,"Hey Kalpit, I am a Full Stack and AI engineer. Built LangGraph agents and a provider agnostic LLM layer at OpenBiz. Exploring AI engineering roles at Netcore. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Manav Garg,https://www.linkedin.com/in/manavgarg,founder,Eka Software,"Hey Manav, I am a Full Stack and AI engineer. Shipped LangGraph agents and pgvector RAG pipelines at OpenBiz. Exploring AI engineering roles at Eka. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Mukul Rustagi,https://www.linkedin.com/in/mukulrustagi,founder,Classplus,"Hey Mukul, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Classplus. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,CEO
Pawan Gupta,https://www.linkedin.com/in/pawangupta,founder,Classplus,"Hey Pawan, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Classplus. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,Co-founder
Adit Jain,https://www.linkedin.com/in/aditjain,founder,Leena AI,"Hey Adit, I am a Full Stack and AI engineer. Shipped LangGraph agents and VyaparGPT (WhatsApp AI, 40 SMBs) at OpenBiz. Exploring roles at Leena AI. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Shridhar Marri,https://www.linkedin.com/in/shridharmarri,founder,Kaleyra,"Hey Shridhar, I am a Full Stack and AI engineer. Shipped VyaparGPT (WhatsApp AI, LangGraph, 40 SMBs) and conversational AI pipelines at OpenBiz. Exploring roles at Kaleyra. Would you refer me if there are openings? Happy to share my resume.",3,CEO
