name,url,persona,company,message,personalization_score,notes
Kalyan Krishnamurthy,https://www.linkedin.com/in/kalyankrishnamurthy,executive,Flipkart,"Hey Kalyan, I am a Full Stack and AI engineer. Built LangGraph agents and a pgvector RAG pipeline at OpenBiz. Exploring AI engineering roles at Flipkart. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Nandita Sinha,https://www.linkedin.com/in/nanditasinha,executive,Myntra,"Hey Nandita, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring AI engineering roles at Myntra. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Abhinav Shashank,https://www.linkedin.com/in/abhinavshashank,founder,Innovaccer,"Hey Abhinav, I am a Full Stack and AI engineer. Shipped LangGraph agents, pgvector RAG (sub 800ms), and Gemini Vision doc extraction at OpenBiz. Exploring AI roles at Innovaccer. Would you refer me if there are relevant openings? Happy to share my resume.",3,CEO
Kanav Hasija,https://www.linkedin.com/in/kanavhasija,founder,Innovaccer,"Hey Kanav, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring AI engineering roles at Innovaccer. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Rajesh Yabaji,https://www.linkedin.com/in/rajeshyabaji,founder,BlackBuck,"Hey Rajesh, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at BlackBuck. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Tarun Dua,https://www.linkedin.com/in/tarundua,founder,E2E Networks,"Hey Tarun, I am a Full Stack and AI engineer. Shipped LangGraph agents, pgvector RAG, and MERN TypeScript systems at OpenBiz. Exploring engineering roles at E2E Networks. Would you be open to referring me if there are openings? Happy to share my resume.",3,MD
Sumit Agarwal,https://www.linkedin.com/in/sumitagarwal,founder,Vyapar,"Hey Sumit, I am a Full Stack and AI engineer. Built VyaparGPT (WhatsApp AI, LangGraph, 40 SMBs) at OpenBiz as a conversational AI layer for businesses. Exploring roles at Vyapar. Would you refer me if there are openings? Happy to share my resume.",3,CEO
Bharat Goenka,https://www.linkedin.com/in/bharatgoenka,founder,Tally Solutions,"Hey Bharat, I am a Full Stack and AI engineer. Shipped VyaparGPT (WhatsApp AI, 40 SMBs) and LangGraph agents at OpenBiz. Exploring AI engineering roles at Tally. Would you refer me if there are relevant openings? Happy to share my resume.",3,MD
Vikas Malpani,https://www.linkedin.com/in/vikasmalpani,founder,Porter,"Hey Vikas, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Porter. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Vimal Kumar,https://www.linkedin.com/in/vimalkumar,founder,Juspay,"Hey Vimal, I am a Full Stack engineer. Shipped idempotent payment webhook billing (100% consistency) and LangGraph agents at OpenBiz. Exploring engineering roles at Juspay. Would you be open to referring me if there are openings? Happy to share my resume.",3,CEO
Ramakant Sharma,https://www.linkedin.com/in/ramakantsharma,founder,Livspace,"Hey Ramakant, I am a Full Stack and AI engineer. Built LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Livspace. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Anuj Srivastava,https://www.linkedin.com/in/anujsrivastava,founder,Livspace,"Hey Anuj, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Livspace. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Saahil Goel,https://www.linkedin.com/in/saahilgoel,founder,Shiprocket,"Hey Saahil, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Shiprocket. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Vishesh Khurana,https://www.linkedin.com/in/visheshkhurana,founder,Shiprocket,"Hey Vishesh, I am a Full Stack and AI engineer (MERN, TypeScript, Python, LangGraph). Exploring engineering roles at Shiprocket. Would you be open to referring me if there are relevant openings? Happy to share my resume. Thank you.",3,Co-founder
Rohit Taneja,https://www.linkedin.com/in/rohittaneja,founder,Decentro,"Hey Rohit, I am a Full Stack and AI engineer. Built LangGraph agents and idempotent payment webhook systems at OpenBiz. Exploring fintech API roles at Decentro. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Pratik Gadekar,https://www.linkedin.com/in/pratikgadekar,founder,Decentro,"Hey Pratik, I am a Full Stack and AI engineer. Shipped idempotent payment webhook billing and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Decentro. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Arpit Dave,https://www.linkedin.com/in/arpitdave,founder,Recko,"Hey Arpit, I am a Full Stack engineer. Shipped idempotent payment webhook billing (100% consistency) and LangGraph agents at OpenBiz. Exploring fintech engineering roles at Recko. Would you refer me if there are relevant openings? Happy to share my resume.",3,Co-founder
Sujay Nair,https://www.linkedin.com/in/sujaynair,founder,Recko,"Hey Sujay, I am a Full Stack engineer. Built idempotent payment webhook billing and LangGraph AI agents at OpenBiz. Exploring fintech engineering roles at Recko. Would you be open to referring me if there are openings? Happy to share my resume.",3,Co-founder
Naman Sarawagi,https://www.linkedin.com/in/namansarawagi,executive,RudderStack,"Hey Naman, I am a Full Stack and AI engineer. Shipped MERN TypeScript systems and pgvector RAG pipelines at OpenBiz. Exploring engineering roles at RudderStack. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,VP Engineering
Mrinal Sinha,https://www.linkedin.com/in/mrinalsinha,executive,Instabase,"Hey Mrinal, I am a Full Stack and AI engineer. Built Gemini Vision document extraction pipelines and LangGraph agents at OpenBiz. Exploring AI engineering roles at Instabase. Would you be open to referring me if there are openings? Happy to share my resume.",3,Engineering
Prasad Varma,https://www.linkedin.com/in/prasadvarma,founder,Keka HR,"Hey Prasad, I am a Full Stack and AI engineer. Shipped LangGraph agents and MERN TypeScript systems at OpenBiz. Exploring engineering roles at Keka HR. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,CEO
Saurabh Kumar Tiwari,https://www.linkedin.com/in/saurabhkumartiwari,senior_engineer,PhonePe,"Hey Saurabh, I am a Full Stack engineer. Shipped idempotent payment webhook billing and cut API latency 40% at OpenBiz. Exploring engineering roles at PhonePe. Would you be open to referring me if there are relevant openings? Happy to share my resume.",3,Engineering
Harish Kumar,https://www.linkedin.com/in/harishkumar,senior_engineer,Cashfree Payments,"Hey Harish, I am a Full Stack engineer. Built idempotent payment webhook billing (100% consistency) and LangGraph agents at OpenBiz. Exploring engineering roles at Cashfree. Would you be open to referring me if there are openings? Happy to share my resume.",3,Engineering
